type;auteur;annee;lien;titre;
thèse;E. Gaillard De Saint Germain;2018;https://theses.fr/2018PESC1113;Arbitrer coût et flexibilité dans la Supply Chain;
thèse;J. Roussel;2018;https://theses.fr/2018PESC1115;Analyse théorique et numérique de dynamiques non-réversibles en physique statistique computationnelle;
thèse;M. Josien;2018;https://theses.fr/2018PESC1120;Etude mathématique et numérique de quelques modèles multi-échelles issus de la mécanique des matériaux;
thèse;M. Sciauveau;2018;https://theses.fr/2018PESC1127;Asymptotiques de fonctionnelles d'arbres aléatoires et de graphes denses aléatoires;
thèse;A. Zhou;2018;https://theses.fr/2018PESC1128;Etude théorique et numérique de problèmes non linéaires au sens de McKean en finance;
thèse;P. Terrier;2018;https://theses.fr/2018PESC1135;Algorithmes stochastiques pour simuler l'évolution microstructurale d'alliages ferritiques : une étude de la dynamique d'amas;
thèse;A. Benaceur;2018;https://theses.fr/2018PESC1140;Réduction de modèles en thermo-mécanique;
thèse;F. Pacaud;2018;https://theses.fr/2018PESC1147;Decentralized optimization for energy efficiency under stochasticity;
thèse;K. Cascavita-Mellado;2018;https://theses.fr/2018PESC1158;Méthodes de discrétisation hybrides pour les problèmes de contact de Signorini et les écoulements de Bingham;
thèse;L. Cao;2019;https://theses.fr/2019PESC1028;Mathematical analysis of electronic structure models for defected materials;
thèse;G. Ferre;2019;https://theses.fr/2019PESC1035;Large Deviations Theory in Statistical Physics: Some Theoretical and Numerical Aspects;
thèse;B. Dubois;2019;https://theses.fr/2019PESC1031;Multi-task electricity loads forecasting;
thèse;G. Emprin;2019;https://theses.fr/2019PESC1032;Une topologie pour les arbres labellés, application aux arbres aléatoires s-compacts;
thèse;N. Pignet;2019;https://theses.fr/2019PESC1043;Hybrid High-Order methods for nonlinear solidm mechanics;
thèse;L. Silva Lopes;2019;https://theses.fr/2019PESC1045;Méthodes numériques pour la simulation d'évènements rares en dynamique moléculaire;
thèse;T. Rigaut;2019;https://theses.fr/2019PESC2015;Time decomposition methods for optimal management of energy storage under stochasticity;
thèse;P. Daniel;2019;https://theses.fr/2019SORUS475;Éléments finis hp adaptatifs avec contraction d’erreur garantie et solveurs multi-niveaux inexacts;
